destination_name,location_id,image
Quận 1,1,
Quận 3,1,
Quận 5,1,
Quận 7,1,
Bình Thạnh,1,
Tân Bình,1,
Phú Nhuận,1,
Quận 10,1,
Gò Vấp,1,
Thủ Đức,1,
Bình Chánh,1,
Quận 6,1,
Quận 4,1,
Quận 8,1,
Huyện Củ Chi,1,
Quận Hoàn Kiếm,2,
Phố Cổ,2,
Quận Tây Hồ,2,
Quận Ba Đình,2,
Quận Hai Bà Trưng,2,
Quận Đống Đa,2,
Quận Cầu Giấy,2,
Quận Long Biên,2,
Quận Hoàng Mai,2,
Huyện Sóc Sơn,2,
Quận Thanh Xuân,2,
Quận Từ Liêm,2,
Phước Mỹ,3,
Hòa Hải,3,
Hải Châu,3,
An Hải Bắc,3,
Xuân Hà,3,
Hòa Vang,3,
Thọ Quang,3,
Hòa Minh,3,
Quận Cẩm Lệ,3,
Lộc Thọ,4,
Cam Hải Đông,4,
Vĩnh Phước,4,
Vĩnh Trường,4,
Tân Lập,4,
Xương Huân,4,
Vĩnh Hải,4,
Cam Ranh,4,
Vĩnh Hòa,4,
Thắng Tam,5,
Phường 2,5,
Phường 10,5,
Hồ Tràm,5,
Long Hải,5,
Phước Hải,5,
Phường 8,5,
Phường 5,5,
Hồ Cốc,5,
Trung tâm Thành Phố Đà Lạt,6,
Ga Đà Lạt,6,
Thung Lũng Tình Yêu,6,
Thác Cam Ly,6,
Phường 11 3,6,
Hồ Xuân Hương,6,
Hồ Tuyền Lâm,6,
Xuân Thọ,6,
Đan Kia,6,
Huyện Lâm Hà,6,
Núi Langbiang,6,
Cẩm Châu,7,
Cẩm An,7,
Cẩm Phô,7,
Cẩm Hà,7,
Cẩm Thanh,7,
Minh An,7,
Cẩm Nam,7,
Sơn Phong,7,
Cửa Đại,7,
Mũi Né,8,
Tiến Thành,8,
Phú Thủy,8,
La Gi,8,
Phú Hài,8,
Hàm Thuận Nam,8,
Hòa Thắng,8,
Thị trấn An Thới,9,
Dương Đông,9,
Dương Tơ,9,
Gành Dầu,9,
Ông Lang,9,
Cửa Dương,9,
Cửa Lấp,9,
Hàm Ninh,9,
Thành Phố Huế,10,
Cố Đô Huế,10,
Sông Hương,10,
Biển Thuận An,10,
Phá Tam Giang,10,
Vườn quốc gia Bạch Mã,10,
Trung tâm Thành phố Sa Pa,11,
Lao Chải Tả Van,11,
Bản Tả Phìn,11,